TreeID,qSpecies,qLegalStatus,PlantDate,DBH,Latitude,Longitude
201766, Italian Stone Pine,DPW Maintained,,16,37.71271226,-122.3877442
187474, Swamp Myrtle,DPW Maintained,,5,37.72815278,-122.431747
135590, London Plane,DPW Maintained,,8,37.79493038,-122.39666
125114, Blackwood Acacia,DPW Maintained,,6,37.79095197,-122.4470332
238559, Flowering Plum,DPW Maintained,,7,37.74687813,-122.4283607
51482, Golden Rain Tree,DPW Maintained,,10,37.77475199,-122.3945481
134345, London Plane,DPW Maintained,,13,37.7817173,-122.4110952
198154, Swamp Myrtle,DPW Maintained,,5,37.7801782,-122.3964804
248355, Olive Tree,DPW Maintained,,6,37.76888805,-122.44775
23622, London Plane,DPW Maintained,,16,37.73976858,-122.4672855
225034, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,15,37.76052423,-122.438405
16389, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,6,37.7851454,-122.4221053
218820, Chinese Banyan,DPW Maintained,,4,37.71980078,-122.471735
135285, London Plane,DPW Maintained,,9,37.80054971,-122.3990875
117714, Lemon Bottlebrush,DPW Maintained,,5,37.77974255,-122.5019824
142555, Lemon Bottlebrush,DPW Maintained,,16,37.80436797,-122.416499
99044, Columbia Hybrid Plane Tree,Permitted Site,,3,37.76551448,-122.4217624
230426, Magnolia,DPW Maintained,,1,37.7452316,-122.41624
192961, Southern Magnolia,DPW Maintained,,7,37.76609755,-122.3967785
126321, Red Flowering Gum,DPW Maintained,,20,37.79354772,-122.3980122
124958, Blackwood Acacia,DPW Maintained,,14,37.78880889,-122.4554966
190357, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,20,37.78313486,-122.3933905
220169, Blackwood Acacia,DPW Maintained,,25,37.73696787,-122.4253539
10265, Sweet Shade,DPW Maintained,,60,37.7727718,-122.4257639
247507, Red Maple,DPW Maintained,,3,37.77342072,-122.4374693
135043, London Plane,DPW Maintained,,6,37.79852701,-122.4020756
15357, Mexican Fan Palm,Permitted Site,,12,37.76618096,-122.4198632
100530, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,16,37.79565809,-122.4131987
124205, Cajeput,DPW Maintained,,5,37.7777219,-122.4561464
238725, London Plane,DPW Maintained,,6,37.73801158,-122.4220442
117963, Hybrid Strawberry Tree,DPW Maintained,,5,37.77753646,-122.4965871
232455, Olive Tree,DPW Maintained,,2,37.76162246,-122.4218174
220698, Guadalupe Palm,DPW Maintained,,13,37.74823871,-122.4142396
15397, Mexican Fan Palm,DPW Maintained,,18,37.76465453,-122.4195334
219286, Juniper,DPW Maintained,,6,37.73145382,-122.4377833
247158, Olive Tree,DPW Maintained,,4,37.76257915,-122.4347076
130899, Southern Magnolia,DPW Maintained,,3,37.79128057,-122.4106222
221299, Guadalupe Palm,DPW Maintained,,12,37.74885365,-122.4064876
209685, Mayten,DPW Maintained,,6,37.75319307,-122.4721211
175497, Hybrid Strawberry Tree,DPW Maintained,,9,37.72287811,-122.4118815
97063, Brisbane Box,DPW Maintained,,10,37.7351486,-122.3897551
224733, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,18,37.7600382,-122.42338
105092, Blackwood Acacia,DPW Maintained,,5,37.79097177,-122.4469246
2566, Victorian Box,DPW Maintained,,11,37.78832822,-122.423765
91596, California privet,DPW Maintained,,6,37.76284232,-122.417332
140873, New Zealand Xmas Tree,DPW Maintained,,5,37.78272848,-122.4491116
128917, Maidenhair Tree,DPW Maintained,,4,37.79364131,-122.4414767
187780, Blackwood Acacia,DPW Maintained,,4,37.73748583,-122.3793722
27059, New Zealand Xmas Tree,DPW Maintained,,12,37.72893955,-122.4174397
133578, London Plane,DPW Maintained,,1,37.78892983,-122.4504677
222371, Lemon Bottlebrush,DPW Maintained,,12,37.76083415,-122.4306382
188755, Blackwood Acacia,DPW Maintained,,12,37.71139758,-122.3935329
233986, Tawhiwhi Pittosporum,DPW Maintained,,17,37.76297448,-122.4479765
1714, Grecian Laurel,DPW Maintained,,6,37.79655069,-122.4007326
231293, New Zealand Xmas Tree,DPW Maintained,,13,37.75026409,-122.425502
130551, Southern Magnolia,DPW Maintained,,14,37.79046521,-122.4498548
127680, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,17,37.79040981,-122.4089116
224612, Chinese Banyan,DPW Maintained,,7,37.75285749,-122.4446823
206037, Mediterranean Fan Palm,DPW Maintained,,10,37.72339122,-122.4550615
234060, Victorian Box,DPW Maintained,,14,37.75162404,-122.4053058
190183, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,7,37.79323461,-122.3950955
11633, Siberian Elm,Permitted Site,,30,37.72893181,-122.4717601
235816, Cherry Plum,DPW Maintained,,5,37.76267902,-122.4206246
213490, Kwanzan Flowering Cherry,DPW Maintained,,4,37.72772453,-122.4580501
26548, Chinese Banyan,DPW Maintained,,18,37.75246428,-122.4135832
105802, Victorian Box,DPW Maintained,,20,37.77431738,-122.4592428
209230, Mayten,DPW Maintained,,13,37.7353527,-122.4454252
131955, Olive Tree,DPW Maintained,,3,37.80154625,-122.4235705
96823, Canary Island Date Palm,DPW Maintained,,24,37.75927246,-122.4260223
208086, American Sweet Gum,DPW Maintained,,4,37.72622294,-122.4720931
229933, Southern Magnolia,DPW Maintained,,5,37.74317641,-122.4343788
200897, Brisbane Box,DPW Maintained,,5,37.73902624,-122.3890718
9871, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,36,37.78688385,-122.4249126
209000, Blue Gum,DPW Maintained,,27,37.73672166,-122.4625169
16033, Red Ironbark,DPW Maintained,,18,37.73147799,-122.4388388
227661, Grecian Laurel,DPW Maintained,,14,37.73787142,-122.4297783
205095, Red Flowering Gum,DPW Maintained,,5,37.72407625,-122.4722012
177859, Olive Tree,DPW Maintained,,6,37.7302854,-122.436714
106083, London Plane,DPW Maintained,,21,37.78966188,-122.4500681
203823, Blackwood Acacia,DPW Maintained,,14,37.73239128,-122.4539439
127709, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,7,37.79543007,-122.4133114
172200, Brisbane Box,DPW Maintained,,0,37.72253016,-122.4298478
125471, Fern Pine,DPW Maintained,,7,37.79075416,-122.4090107
130222, Brisbane Box,DPW Maintained,,4,37.79391181,-122.4227343
17213, Olive Tree,DPW Maintained,,3,37.78412107,-122.422167
238531, Kwanzan Flowering Cherry,DPW Maintained,,2,37.77233688,-122.4209008
18719, New Zealand Xmas Tree,DPW Maintained,,12,37.76672106,-122.4372839
6085, Victorian Box,Permitted Site,,6,37.77992553,-122.4404095
229042, Brisbane Box,DPW Maintained,,15,37.74327272,-122.4325953
140669, Blackwood Acacia,DPW Maintained,,9,37.77443116,-122.454503
124488, Myoporum,Undocumented,,25,37.77747273,-122.4555604
130683, Southern Magnolia,DPW Maintained,,4,37.79216153,-122.4430756
235285, Victorian Box,DPW Maintained,,4,37.75867831,-122.4404787
133310, London Plane,DPW Maintained,,8,37.79542181,-122.4416082
238033, Ornamental Cherry,DPW Maintained,,6,37.75732464,-122.4347509
